Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
4264;AV_Champs_Elysees;2020-09-03T00:00:00+02:00;643.0;8.87445;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-09-02T15:00:00+02:00;1120.0;16.905;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-09-02T03:00:00+02:00;339.0;3.59556;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-09-02T02:00:00+02:00;432.0;5.35611;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-09-02T07:00:00+02:00;620.0;6.99167;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-09-02T06:00:00+02:00;280.0;3.22278;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-09-02T10:00:00+02:00;1016.0;45.04056;Saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-11-02T03:00:00+01:00;107.0;5.73222;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-12-01T20:00:00+01:00;892.0;11.67945;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
4264;AV_Champs_Elysees;2020-11-02T09:00:00+01:00;1210.0;17.805;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.8715358799,2.30172279246;"{""type"": ""LineString"", ""coordinates"": [[2.3009951475, 48.8717770435], [2.3024504374, 48.8712947163]]}"
