description;population;start_date;end_date;location;zones;annee_scolaire
Vacances 2ème période;;2022-06-04;2022-06-19;Nouvelle Calédonie;Nouvelle Calédonie;2022
Vacances d'Été;;2022-12-17;;Nouvelle Calédonie;Nouvelle Calédonie;2022
Vacances de Mai;;2018-05-19;2018-05-28;Polynésie;Polynésie;2017-2018
Grandes Vacances;Enseignants du premier degré;2018-07-05;2018-08-16;Polynésie;Polynésie;2017-2018
Grandes Vacances;Élèves du premier degré;2018-07-05;2018-08-14;Polynésie;Polynésie;2017-2018
Vacances de Février;;2019-02-16;2019-02-25;Polynésie;Polynésie;2018-2019
Vacances de Novembre;;2019-10-26;2019-11-12;Polynésie;Polynésie;2019-2020
Vacances de Pâques;;2020-03-28;2020-04-14;Polynésie;Polynésie;2019-2020
Grandes Vacances;Enseignants du premier degré;2020-07-02;2020-08-10;Polynésie;Polynésie;2019-2020
Grandes Vacances;Élèves du premier degré;2020-07-02;2020-08-12;Polynésie;Polynésie;2019-2020
Grandes Vacances;Enseignants du second degré;2020-07-04;2020-08-10;Polynésie;Polynésie;2019-2020
Vacances de Pâques;;2022-04-02;2022-04-19;Polynésie;Polynésie;2021-2022
Grandes Vacances;Collèges;2023-07-01;;Polynésie;Polynésie;2022-2023
Vacances d'Hiver austral;Élèves;2018-07-07;2018-08-17;Réunion;Réunion;2017-2018
Vacances après 4ème période;;2019-05-07;2019-05-20;Réunion;Réunion;2018-2019
Vacances d'Été;Enseignants;2018-06-30;2018-09-06;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2017-2018
Vacances d'Hiver;;2020-02-21;2020-03-09;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2019-2020
Vacances d'Été;Élèves;2018-12-15;2019-02-11;Wallis et Futuna;Wallis et Futuna;2018
Vacances 4ème période;;2019-10-12;2019-10-28;Wallis et Futuna;Wallis et Futuna;2019
Vacances d'Été;Élèves;2019-12-14;2020-02-10;Wallis et Futuna;Wallis et Futuna;2019
