description;population;start_date;end_date;location;zones;annee_scolaire
Vacances 1ère période;;2019-03-30;2019-04-15;Wallis et Futuna;Wallis et Futuna;2019
Vacances 1ère période;;2020-03-28;2020-04-13;Wallis et Futuna;Wallis et Futuna;2020
Vacances 2ème période;;2020-06-06;2020-06-22;Wallis et Futuna;Wallis et Futuna;2020
Vacances de la Toussaint;;2018-10-20;2018-11-05;Besançon;Zone A;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Besançon;Zone A;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Besançon;Zone A;2019-2020
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Bordeaux;Zone A;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Bordeaux;Zone A;2018-2019
Vacances de Noël;;2018-12-22;2019-01-07;Bordeaux;Zone A;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Bordeaux;Zone A;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Bordeaux;Zone A;2020-2021
Vacances d'Été;;2021-07-05;;Bordeaux;Zone A;2020-2021
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Clermont-Ferrand;Zone A;2017-2018
Vacances d'Hiver;;2020-02-22;2020-03-09;Clermont-Ferrand;Zone A;2019-2020
Vacances de Printemps;;2020-04-18;2020-05-04;Clermont-Ferrand;Zone A;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Clermont-Ferrand;Zone A;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Clermont-Ferrand;Zone A;2020-2021
Vacances de Noël;;2020-12-19;2021-01-04;Clermont-Ferrand;Zone A;2020-2021
Vacances de la Toussaint;;2018-10-20;2018-11-05;Dijon;Zone A;2018-2019
Vacances d'Hiver;;2019-02-16;2019-03-04;Dijon;Zone A;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Dijon;Zone A;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Dijon;Zone A;2019-2020
Vacances d'Hiver;;2020-02-22;2020-03-09;Dijon;Zone A;2019-2020
Vacances d'Hiver;;2021-02-06;2021-02-22;Dijon;Zone A;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Dijon;Zone A;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Grenoble;Zone A;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Grenoble;Zone A;2017-2018
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Grenoble;Zone A;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Grenoble;Zone A;2019-2020
Vacances d'Hiver;;2021-02-06;2021-02-22;Grenoble;Zone A;2020-2021
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Limoges;Zone A;2017-2018
Vacances de Printemps;;2019-04-13;2019-04-29;Limoges;Zone A;2018-2019
Vacances de Printemps;;2020-04-18;2020-05-04;Limoges;Zone A;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Limoges;Zone A;2019-2020
Vacances de Printemps;;2021-04-10;2021-04-26;Limoges;Zone A;2020-2021
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Lyon;Zone A;2017-2018
Vacances de Printemps;;2019-04-13;2019-04-29;Lyon;Zone A;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Lyon;Zone A;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Lyon;Zone A;2019-2020
Vacances de Noël;;2020-12-19;2021-01-04;Lyon;Zone A;2020-2021
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Poitiers;Zone A;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Poitiers;Zone A;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Poitiers;Zone A;2018-2019
Vacances de la Toussaint;;2020-10-17;2020-11-02;Poitiers;Zone A;2020-2021
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Aix-Marseille;Zone B;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Aix-Marseille;Zone B;2019-2020
Pont de l'Ascension;;2020-05-20;2020-05-25;Aix-Marseille;Zone B;2019-2020
Vacances de la Toussaint;;2017-10-21;2017-11-06;Amiens;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Amiens;Zone B;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Amiens;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Amiens;Zone B;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Amiens;Zone B;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Amiens;Zone B;2020-2021
Vacances de Noël;;2020-12-19;2021-01-04;Amiens;Zone B;2020-2021
Vacances d'Hiver;;2021-02-20;2021-03-08;Amiens;Zone B;2020-2021
Vacances d'Été;;2021-07-05;;Amiens;Zone B;2020-2021
Vacances de Printemps;;2019-04-06;2019-04-23;Caen;Zone B;2018-2019
Pont de l'Ascension;;2019-05-29;2019-06-03;Caen;Zone B;2018-2019
Vacances de Printemps;;2020-04-11;2020-04-27;Normandie;Zone B;2019-2020
Vacances d'Hiver;;2021-02-20;2021-03-08;Normandie;Zone B;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Normandie;Zone B;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Lille;Zone B;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Lille;Zone B;2017-2018
Pont de l'Ascension;;2019-05-29;2019-06-03;Lille;Zone B;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Lille;Zone B;2019-2020
Vacances de Noël;;2019-12-21;2020-01-06;Lille;Zone B;2019-2020
Vacances d'Hiver;;2020-02-15;2020-03-02;Lille;Zone B;2019-2020
Vacances de Printemps;;2020-04-11;2020-04-27;Lille;Zone B;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Lille;Zone B;2019-2020
Vacances de la Toussaint;;2020-10-17;2020-11-02;Lille;Zone B;2020-2021
